SKF Bearing Data for Cylindrical roller bearings, single row (Metric)
Principal dimensions	Basic load ratings	Fatigue load limit	Speed ratings	Designation
d[mm]	D[mm]	B[mm]	C[kN]	C0[kN]	Pu[kN]	Ref speed[r/min]	Lim speed[r/min]	Designation bearing
20 	52 	15 	35.5 	26 	3.25 	15000 	18000 	NUP 304 ECP
20 	52 	21 	47.5 	38 	4.8 	15000 	18000 	NJ 2304 ECP
20 	52 	21 	47.5 	38 	4.8 	15000 	18000 	NU 2304 ECP
20 	52 	21 	47.5 	38 	4.8 	15000 	18000 	NUP 2304 ECP
25 	47 	12 	14.2 	13.2 	1.4 	18000 	18000 	NU 1005
25 	52 	15 	32.5 	27 	3.35 	15000 	16000 	N 205 ECP
25 	52 	15 	32.5 	27 	3.35 	15000 	16000 	NJ 205 ECJ
25 	52 	15 	32.5 	27 	3.35 	15000 	16000 	NJ 205 ECP
25 	52 	15 	32.5 	27 	3.35 	15000 	16000 	NJ 205 ECPH
25 	52 	15 	32.5 	27 	3.35 	15000 	16000 	NU 205 ECP
25 	52 	15 	32.5 	27 	3.35 	15000 	16000 	NUP 205 ECP
25 	52 	15 	32.5 	27 	3.35 	15000 	22000 	NU 205 ECPHA
25 	52 	15 	32.5 	27 	3.35 	15000 	26000 	NJ 205 ECML
25 	52 	15 	32.5 	27 	3.35 	15000 	26000 	NU 205 ECML
25 	52 	15 	32.5 	27 	3.35 	15000 	26000 	NUP 205 ECML
25 	52 	18 	39 	34 	4.25 	15000 	16000 	NJ 2205 ECP
25 	52 	18 	39 	34 	4.25 	15000 	16000 	NU 2205 ECP
25 	52 	18 	39 	34 	4.25 	15000 	16000 	NUP 2205 ECP
25 	52 	18 	39 	34 	4.25 	15000 	26000 	NU 2205 ECML
25 	62 	17 	46.5 	36.5 	4.55 	12000 	15000 	N 305 ECP
25 	62 	17 	46.5 	36.5 	4.55 	12000 	15000 	NJ 305 ECJ
25 	62 	17 	46.5 	36.5 	4.55 	12000 	15000 	NJ 305 ECP
25 	62 	17 	46.5 	36.5 	4.55 	12000 	15000 	NU 305 ECJ
25 	62 	17 	46.5 	36.5 	4.55 	12000 	15000 	NU 305 ECP
25 	62 	17 	46.5 	36.5 	4.55 	12000 	15000 	NUP 305 ECJ
25 	62 	17 	46.5 	36.5 	4.55 	12000 	15000 	NUP 305 ECP
25 	62 	17 	46.5 	36.5 	4.55 	12000 	22000 	NJ 305 ECML
25 	62 	17 	46.5 	36.5 	4.55 	12000 	22000 	NU 305 ECML
25 	62 	17 	46.5 	36.5 	4.55 	12000 	22000 	NUP 305 ECML
25 	62 	24 	64 	55 	6.95 	12000 	15000 	NJ 2305 ECP
25 	62 	24 	64 	55 	6.95 	12000 	15000 	NU 2305 ECJ
25 	62 	24 	64 	55 	6.95 	12000 	15000 	NU 2305 ECP
25 	62 	24 	64 	55 	6.95 	12000 	15000 	NUP 2305 ECP
25 	62 	24 	64 	55 	6.95 	12000 	22000 	NJ 2305 ECML
25 	62 	24 	64 	55 	6.95 	12000 	22000 	NU 2305 ECML
25 	62 	24 	64 	55 	6.95 	12000 	22000 	NUP 2305 ECML
30 	55 	13 	17.9 	17.3 	1.86 	15000 	15000 	NU 1006
30 	62 	16 	44 	36.5 	4.5 	13000 	14000 	N 206 ECP
30 	62 	16 	44 	36.5 	4.5 	13000 	14000 	NU 206 ECJ
30 	62 	16 	44 	36.5 	4.5 	13000 	14000 	NU 206 ECKP/C3
30 	62 	16 	44 	36.5 	4.5 	13000 	14000 	NU 206 ECP
30 	62 	16 	44 	36.5 	4.5 	13000 	14000 	NU 206 ECPH
30 	62 	16 	44 	36.5 	4.5 	13000 	22000 	NU 206 ECML
30 	62 	16 	44 	36.5 	4.55 	13000 	14000 	NJ 206 ECJ
30 	62 	16 	44 	36.5 	4.55 	13000 	14000 	NJ 206 ECP
30 	62 	16 	44 	36.5 	4.55 	13000 	14000 	NUP 206 ECP
30 	62 	16 	44 	36.5 	4.55 	13000 	22000 	NJ 206 ECML
30 	62 	16 	44 	36.5 	4.55 	13000 	22000 	NUP 206 ECML
30 	62 	20 	55 	49 	6.1 	13000 	14000 	NJ 2206 ECJ
30 	62 	20 	55 	49 	6.1 	13000 	14000 	NJ 2206 ECP
30 	62 	20 	55 	49 	6.1 	13000 	14000 	NJ 2206 ECPH
30 	62 	20 	55 	49 	6.1 	13000 	14000 	NU 2206 ECJ
30 	62 	20 	55 	49 	6.1 	13000 	14000 	NU 2206 ECP
30 	62 	20 	55 	49 	6.1 	13000 	14000 	NU 2206 ECPH
30 	62 	20 	55 	49 	6.1 	13000 	14000 	NUP 2206 ECP
30 	62 	20 	55 	49 	6.1 	13000 	22000 	NU 2206 ECML
30 	72 	19 	58.5 	48 	6.2 	11000 	12000 	N 306 ECP
30 	72 	19 	58.5 	48 	6.2 	11000 	12000 	NJ 306 ECJ
30 	72 	19 	58.5 	48 	6.2 	11000 	12000 	NJ 306 ECM
30 	72 	19 	58.5 	48 	6.2 	11000 	12000 	NJ 306 ECP
30 	72 	19 	58.5 	48 	6.2 	11000 	12000 	NU 306 ECJ
30 	72 	19 	58.5 	48 	6.2 	11000 	12000 	NU 306 ECM
30 	72 	19 	58.5 	48 	6.2 	11000 	12000 	NU 306 ECP
30 	72 	19 	58.5 	48 	6.2 	11000 	12000 	NUP 306 ECJ
30 	72 	19 	58.5 	48 	6.2 	11000 	12000 	NUP 306 ECM
30 	72 	19 	58.5 	48 	6.2 	11000 	12000 	NUP 306 ECNJ
30 	72 	19 	58.5 	48 	6.2 	11000 	12000 	NUP 306 ECP
30 	72 	19 	58.5 	48 	6.2 	11000 	19000 	NJ 306 ECML
30 	72 	19 	58.5 	48 	6.2 	11000 	19000 	NU 306 ECML
30 	72 	19 	58.5 	48 	6.2 	11000 	19000 	NUP 306 ECML
30 	72 	27 	83 	75 	9.65 	11000 	12000 	NJ 2306 ECP
30 	72 	27 	83 	75 	9.65 	11000 	12000 	NJ 2306 ECPH
30 	72 	27 	83 	75 	9.65 	11000 	12000 	NU 2306 ECP
30 	72 	27 	83 	75 	9.65 	11000 	12000 	NU 2306 ECPH
30 	72 	27 	83 	75 	9.65 	11000 	12000 	NUP 2306 ECP
30 	72 	27 	83 	75 	9.65 	11000 	19000 	NJ 2306 ECML
30 	72 	27 	83 	75 	9.65 	11000 	19000 	NU 2306 ECML
30 	72 	27 	83 	75 	9.65 	11000 	19000 	NUP 2306 ECML
35 	62 	14 	35.8 	38 	4.55 	13000 	13000 	NU 1007 ECP
35 	62 	14 	35.8 	38 	4.55 	13000 	13000 	NU 1007 ECPH
35 	72 	17 	56 	48 	6.1 	11000 	12000 	N 207 ECM
35 	72 	17 	56 	48 	6.1 	11000 	12000 	N 207 ECP
35 	72 	17 	56 	48 	6.1 	11000 	12000 	NJ 207 ECJ
35 	72 	17 	56 	48 	6.1 	11000 	12000 	NJ 207 ECM
35 	72 	17 	56 	48 	6.1 	11000 	12000 	NJ 207 ECP
35 	72 	17 	56 	48 	6.1 	11000 	12000 	NJ 207 ECPH
35 	72 	17 	56 	48 	6.1 	11000 	12000 	NU 207 ECJ
35 	72 	17 	56 	48 	6.1 	11000 	12000 	NU 207 ECM
35 	72 	17 	56 	48 	6.1 	11000 	12000 	NU 207 ECP
35 	72 	17 	56 	48 	6.1 	11000 	12000 	NU 207 ECPH
35 	72 	17 	56 	48 	6.1 	11000 	12000 	NUP 207 ECJ
35 	72 	17 	56 	48 	6.1 	11000 	12000 	NUP 207 ECM
35 	72 	17 	56 	48 	6.1 	11000 	12000 	NUP 207 ECP
35 	72 	17 	56 	48 	6.1 	11000 	18000 	NJ 207 ECML
35 	72 	17 	56 	48 	6.1 	11000 	18000 	NU 207 ECML
35 	72 	17 	56 	48 	6.1 	11000 	18000 	NUP 207 ECML
35 	72 	23 	69.5 	63 	8.15 	11000 	12000 	N 2207 ECM
35 	72 	23 	69.5 	63 	8.15 	11000 	12000 	NJ 2207 ECJ
35 	72 	23 	69.5 	63 	8.15 	11000 	12000 	NJ 2207 ECP
35 	72 	23 	69.5 	63 	8.15 	11000 	12000 	NJ 2207 ECPH
35 	72 	23 	69.5 	63 	8.15 	11000 	12000 	NU 2207 ECJ
35 	72 	23 	69.5 	63 	8.15 	11000 	12000 	NU 2207 ECP
35 	72 	23 	69.5 	63 	8.15 	11000 	12000 	NU 2207 ECPH
35 	72 	23 	69.5 	63 	8.15 	11000 	12000 	NUP 2207 ECP
35 	72 	23 	69.5 	63 	8.15 	11000 	18000 	NJ 2207 ECML
35 	72 	23 	69.5 	63 	8.15 	11000 	18000 	NU 2207 ECML
35 	80 	21 	75 	63 	8.15 	9500 	11000 	N 307 ECM
35 	80 	21 	75 	63 	8.15 	9500 	11000 	N 307 ECP
35 	80 	21 	75 	63 	8.15 	9500 	11000 	NF 307 ECP
35 	80 	21 	75 	63 	8.15 	9500 	11000 	NJ 307 ECJ
35 	80 	21 	75 	63 	8.15 	9500 	11000 	NJ 307 ECM
35 	80 	21 	75 	63 	8.15 	9500 	11000 	NJ 307 ECP
35 	80 	21 	75 	63 	8.15 	9500 	11000 	NJ 307 ECPH
35 	80 	21 	75 	63 	8.15 	9500 	11000 	NU 307 ECJ
35 	80 	21 	75 	63 	8.15 	9500 	11000 	NU 307 ECM
35 	80 	21 	75 	63 	8.15 	9500 	11000 	NU 307 ECP
35 	80 	21 	75 	63 	8.15 	9500 	11000 	NU 307 ECPH
35 	80 	21 	75 	63 	8.15 	9500 	11000 	NUP 307 ECJ
35 	80 	21 	75 	63 	8.15 	9500 	11000 	NUP 307 ECM
35 	80 	21 	75 	63 	8.15 	9500 	11000 	NUP 307 ECP
35 	80 	21 	75 	63 	8.15 	9500 	17000 	NJ 307 ECML
35 	80 	21 	75 	63 	8.15 	9500 	17000 	NU 307 ECML
35 	80 	21 	75 	63 	8.15 	9500 	17000 	NUP 307 ECML
35 	80 	31 	106 	98 	12.7 	9500 	11000 	NJ 2307 ECP
35 	80 	31 	106 	98 	12.7 	9500 	11000 	NJ 2307 ECPH
35 	80 	31 	106 	98 	12.7 	9500 	11000 	NU 2307 ECJ
35 	80 	31 	106 	98 	12.7 	9500 	11000 	NU 2307 ECP
35 	80 	31 	106 	98 	12.7 	9500 	11000 	NU 2307 ECPH
35 	80 	31 	106 	98 	12.7 	9500 	11000 	NUP 2307 ECP
40 	68 	15 	25.1 	26 	3 	12000 	18000 	NU 1008 ML
40 	80 	18 	62 	53 	6.7 	9500 	11000 	N 208 ECP
40 	80 	18 	62 	53 	6.7 	9500 	11000 	N 208 ECPH
40 	80 	18 	62 	53 	6.7 	9500 	11000 	NJ 208 ECJ
40 	80 	18 	62 	53 	6.7 	9500 	11000 	NJ 208 ECM
40 	80 	18 	62 	53 	6.7 	9500 	11000 	NJ 208 ECP
40 	80 	18 	62 	53 	6.7 	9500 	11000 	NJ 208 ECPH
40 	80 	18 	62 	53 	6.7 	9500 	11000 	NU 208 ECJ
40 	80 	18 	62 	53 	6.7 	9500 	11000 	NU 208 ECM
40 	80 	18 	62 	53 	6.7 	9500 	11000 	NU 208 ECP
40 	80 	18 	62 	53 	6.7 	9500 	11000 	NU 208 ECPH
40 	80 	18 	62 	53 	6.7 	9500 	11000 	NUP 208 ECJ
40 	80 	18 	62 	53 	6.7 	9500 	11000 	NUP 208 ECM
40 	80 	18 	62 	53 	6.7 	9500 	11000 	NUP 208 ECP
40 	80 	18 	62 	53 	6.7 	9500 	16000 	NJ 208 ECML
40 	80 	18 	62 	53 	6.7 	9500 	16000 	NU 208 ECML
40 	80 	18 	62 	53 	6.7 	9500 	16000 	NUP 208 ECML
40 	80 	23 	81.5 	75 	9.65 	9500 	11000 	NJ 2208 ECJ
40 	80 	23 	81.5 	75 	9.65 	9500 	11000 	NJ 2208 ECP
40 	80 	23 	81.5 	75 	9.65 	9500 	11000 	NJ 2208 ECPH
40 	80 	23 	81.5 	75 	9.65 	9500 	11000 	NU 2208 ECJ
40 	80 	23 	81.5 	75 	9.65 	9500 	11000 	NU 2208 ECP
40 	80 	23 	81.5 	75 	9.65 	9500 	11000 	NU 2208 ECPH
40 	80 	23 	81.5 	75 	9.65 	9500 	11000 	NUP 2208 ECJ
40 	80 	23 	81.5 	75 	9.65 	9500 	11000 	NUP 2208 ECP
40 	80 	23 	81.5 	75 	9.65 	9500 	16000 	NJ 2208 ECML
40 	80 	23 	81.5 	75 	9.65 	9500 	16000 	NU 2208 ECML
40 	90 	23 	93 	78 	10.2 	8000 	9500 	N 308 ECM
40 	90 	23 	93 	78 	10.2 	8000 	9500 	N 308 ECP
40 	90 	23 	93 	78 	10.2 	8000 	9500 	NJ 308 ECJ
40 	90 	23 	93 	78 	10.2 	8000 	9500 	NJ 308 ECM
40 	90 	23 	93 	78 	10.2 	8000 	9500 	NJ 308 ECP
40 	90 	23 	93 	78 	10.2 	8000 	9500 	NJ 308 ECPH
40 	90 	23 	93 	78 	10.2 	8000 	9500 	NU 308 ECJ
40 	90 	23 	93 	78 	10.2 	8000 	9500 	NU 308 ECM
40 	90 	23 	93 	78 	10.2 	8000 	9500 	NU 308 ECP
40 	90 	23 	93 	78 	10.2 	8000 	9500 	NU 308 ECPH
40 	90 	23 	93 	78 	10.2 	8000 	9500 	NUP 308 ECM
40 	90 	23 	93 	78 	10.2 	8000 	9500 	NUP 308 ECP
40 	90 	23 	93 	78 	10.2 	8000 	15000 	NJ 308 ECML
40 	90 	23 	93 	78 	10.2 	8000 	15000 	NU 308 ECML
40 	90 	23 	93 	78 	10.2 	8000 	15000 	NUP 308 ECML
40 	90 	33 	129 	120 	15.3 	8000 	9500 	NJ 2308 ECJ
40 	90 	33 	129 	120 	15.3 	8000 	9500 	NJ 2308 ECP
40 	90 	33 	129 	120 	15.3 	8000 	9500 	NJ 2308 ECPH
40 	90 	33 	129 	120 	15.3 	8000 	9500 	NU 2308 ECJ
40 	90 	33 	129 	120 	15.3 	8000 	9500 	NU 2308 ECP
40 	90 	33 	129 	120 	15.3 	8000 	9500 	NU 2308 ECPH
40 	90 	33 	129 	120 	15.3 	8000 	9500 	NUP 2308 ECM
40 	90 	33 	129 	120 	15.3 	8000 	9500 	NUP 2308 ECP
40 	90 	33 	129 	120 	15.3 	8000 	15000 	NJ 2308 ECML
40 	90 	33 	129 	120 	15.3 	8000 	15000 	NU 2308 ECML
40 	90 	33 	129 	120 	15.3 	8000 	15000 	NUP 2308 ECML
